trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.9599423302310505}",25,3,-53.58706272784507,"{0: 13, 1: 7, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.959380015422179}",25,0,-144.75562368152913,"{0: 16, 1: 5, 2: 0, 3: 1, 4: 3}",0
145,False,"{'a': 0.5, 'e': 0.9588138630945251}",30,0,-194.08284102379017,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.9582438755126972}",25,0,-78.07205434723957,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.9576700549566448}",20,0,-205.33460682987362,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 4}",0
148,False,"{'a': 0.5, 'e': 0.9570924037216496}",20,1,-92.55612618447904,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
149,False,"{'a': 0.5, 'e': 0.9565109241183156}",20,0,-18.122604591036747,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.9559256184725605}",25,0,-243.646155118473,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
151,False,"{'a': 0.5, 'e': 0.955336489125606}",20,4,-95.17742295425093,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.9547435384339689}",20,0,-133.44904647935385,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.9541467687694509}",25,0,-121.9894001026159,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
154,False,"{'a': 0.5, 'e': 0.9535461825191301}",20,0,-90.26299840031798,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.9529417820853506}",25,0,-141.5895682922498,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-44.74335740542954,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.9517215483530664}",30,0,-121.83616700126677,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.951105719935495}",25,0,-14.041886423811553,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.9504860870963119}",20,0,-107.8628108320783,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.9498626523140478}",20,0,-194.6543778283691,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-186.6080435327516,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.9486043869104273}",20,0,-172.25368423363193,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.9479695613221308}",25,0,-96.01145589455491,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.9473309438568531}",20,0,-123.09894645492821,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
